Seed	Demuxer	BarcodeSet	Sec
6731	fastx	200-9bp-se	212.91756319999695
7460	fastx	200-9bp-se	210.9869282245636
7837	fastx	20-9bp-se	28.33313488960266
7837	fastx	200-9bp-se	216.39006114006042
3176	fastx	10-9bp-se	19.177733421325684
9671	fastx	100-8bp-se	116.26425886154175
2841	fastx	50-9bp-se	61.212730407714844
3544	fastx	100-8bp-se	117.19709587097168
6731	fastx	50-9bp-se	60.36832118034363
1285	fastx	200-9bp-se	222.29097199440002
7460	fastx	10-9bp-se	18.286059856414795
7837	fastx	50-9bp-se	59.93078136444092
3562	fastx	10-9bp-se	18.411432027816772
7051	fastx	100-8bp-se	111.12833786010742
7051	fastx	10-9bp-se	18.830875158309937
3544	fastx	200-9bp-se	214.2319347858429
3176	fastx	200-9bp-se	214.73913979530334
2841	fastx	20-9bp-se	28.701367378234863
2841	fastx	100-8bp-se	110.26629400253296
3544	fastx	20-9bp-se	32.02230501174927
3176	fastx	100-8bp-se	110.8036892414093
9671	fastx	20-9bp-se	29.02017569541931
7460	fastx	50-9bp-se	59.76430344581604
9671	fastx	50-9bp-se	58.78919219970703
7051	fastx	50-9bp-se	60.60194158554077
7837	fastx	100-8bp-se	111.8189001083374
3562	fastx	50-9bp-se	64.50991892814636
3176	fastx	20-9bp-se	30.707159757614136
1285	fastx	100-8bp-se	112.70552778244019
3562	fastx	200-9bp-se	212.35110449790955
3562	fastx	20-9bp-se	29.30225920677185
3544	fastx	10-9bp-se	20.190202236175537
3544	fastx	50-9bp-se	59.831966161727905
7460	fastx	100-8bp-se	117.37359547615051
6731	fastx	10-9bp-se	18.143004417419434
7051	fastx	200-9bp-se	212.34629225730896
6731	fastx	20-9bp-se	28.69297432899475
1285	fastx	20-9bp-se	30.543386697769165
3176	fastx	50-9bp-se	60.27420401573181
2841	fastx	10-9bp-se	19.12899947166443
9671	fastx	10-9bp-se	18.13521718978882
7837	fastx	10-9bp-se	18.10785174369812
6731	fastx	100-8bp-se	113.08668637275696
1285	fastx	50-9bp-se	59.802536487579346
7460	fastx	20-9bp-se	31.278265953063965
